// gr-dict 1.0
// Unidirectional mapping of different dialect words to their Canadian spelling.
//
// @type = one-to-one
// @case-sensitive = false
// @dialect-sensitive = true
// @tags = dialect

// o => ou (color => colour, mold => mould)

//groins ~ groynes
//heydey ~ heyday
//heydeys ~ heydays
//inclosure ~ enclosure
//inclosures ~ enclosures
//instalment ~ installment
//instalments ~ installments
//instals ~ installs
//instil ~ instill
//instiled ~ instilled
//instiling ~ instilling
//instils ~ instills
//jewellery ~ jewelry
//judgment ~ judgement
//judgments ~ judgements
//leant ~ leaned
//leapt ~ leaped
//learnt ~ learned
//likable ~ likeable
//manoeuvrability ~ maneuverability
//manoeuvrable ~ maneuverable
//manoeuvre ~ maneuver
//manoeuvred ~ maneuvered
//manoeuvres ~ maneuvers
//manoeuvring ~ maneuvering
//manoeuvrings ~ maneuverings
//mementos ~ mementoes
//minibuses ~ minibusses
//misjudgment ~ misjudgement
//misjudgments ~ misjudgements
//misspelt ~ misspelled
//mitred ~ mitered
//mitring ~ mitering
//mollusc ~ mollusk
//molluscs ~ mollusks
//moustache ~ mustache
//moustached ~ mustached
//moustaches ~ mustaches
//moustachioed ~ mustachioed
//neuron ~ neurone
//neurons ~ neurones
//nought ~ naught
//oesophagal ~ esophageal
//omelette ~ omelet
//omelettes ~ omelets
//outmanoeuvre ~ outmaneuver
//outmanoeuvred ~ outmaneuvered
//outmanoeuvres ~ outmaneuvers
//outmanoeuvring ~ outmaneuvering
//phial ~ vial
//phialed ~ vialed
//phialing ~ vialing
//phials ~ vials
//phony ~ phoney
//plough ~ plow
//ploughed ~ plowed
//ploughing ~ plowing
//ploughman ~ plowman
//ploughmen ~ plowmen
//ploughs ~ plows
//ploughshare ~ plowshare
//ploughshares ~ plowshares
//polyethene ~ polyethylene
//pouffe ~ pouf
//pouffes ~ poufs
//practise ~ practice
//practised ~ practiced
//practises ~ practices
//practising ~ practicing
//pretense ~ pretence
//pretenses ~ pretences
//routing ~ routeing
//routings ~ routeings
//sceptred ~ sceptered
//sceptring ~ sceptering
//selvedge ~ selvage
//selvedges ~ selvages
//sepulchred ~ sepulchered
//sepulchring ~ sepulchering
//sheikh ~ sheik
//sheikhs ~ sheiks
//shoppe ~ shop
//shoppes ~ shops
//skilful ~ skillful
//snowplough ~ snowplow
//snowploughed ~ snowplowed
//snowploughing ~ snowplowing
//snowploughs ~ snowplows
//spelt ~ spelled
//spilt ~ spilled
//tranquilly ~ tranquility
//unspoilt ~ unspoiled
//whiskies ~ whiskeys
//whisky ~ whiskey
//   both are possible, i prevails
//cypher ~ cipher
//cyphers ~ ciphers
//dyke ~ dike
//dyked ~ diked
//dykes ~ dikes
//syphon ~ siphon
//syphoned ~ siphoned
//syphoning ~ siphoning
//syphons ~ siphons
//tyre ~ tire
//tyred ~ tired
//tyreder ~ tireder
//tyredest ~ tiredest
//tyres ~ tires
//tyring ~ tiring
//tyrings ~ tirings
//   both are possible, gram is prevailing
//aerogramme ~ aerogram
//aerogrammes ~ aerograms
//centigramme ~ centigram
//centigrammes ~ centigrams
//gramme ~ gram
//grammes ~ grams
//kilogramme ~ kilogram
//kilogrammes ~ kilograms
//milligramme ~ milligram
//milligrammes ~ milligrams
//   both possible with different meanings, FPFN-6460,6693 for more info
//center ~ centre
//centers ~ centres
