// gr-dict 1.0
// Unidirectional mapping of different dialect words to their American spelling.
//
// @type = one-to-one
// @case-sensitive = false
// @dialect-sensitive = true
// @tags = dialect

// ou => o (colour => color, mould => mold)

sulphide ~ sulfide
sulphides ~ sulfides
sulphite ~ sulfite
sulphites ~ sulfites
sulphur ~ sulfur
sulphured ~ sulfured
sulphuring ~ sulfuring
sulphurous ~ sulfurous
sulphurs ~ sulfurs

// other

abridgement ~ abridgment
abridgements ~ abridgments
acknowledgement ~ acknowledgment
acknowledgements ~ acknowledgments
aerogramme ~ aerogram
aerogrammes ~ aerograms
aeroplane ~ airplane
aeroplanes ~ airplanes
afterwards ~ afterward
ageing ~ aging
ageings ~ agings
almanack ~ almanac
almanacks ~ almanacs
aluminium ~ aluminum
ambience ~ ambiance
ambiences ~ ambiances
//analogue - Wiktionary, Oxford, Longman, and Cambridge still differentiate them
analogue ~ analog
analogues ~ analogs
annexe ~ annex
apophthegm ~ apothegm
apophthegms ~ apothegms
appal ~ appall
appaled ~ appalled
appaling ~ appalling
appals ~ appalls
archepiscopal ~ archiepiscopal
//art[ei]fact is justifiable here http://grammarist.com/spelling/artefact-artifact/; Wiktionary, Longman & Oxford living dict indicate difference.
artefact ~ artifact
artefacts ~ artifacts
atishoo ~ achoo
atishoos ~ achoos
axe ~ ax
backwards ~ backward
bannister ~ banister
bannisters ~ banisters
barque ~ bark
barqued ~ barked
barques ~ barks
barquing ~ barking
battleaxe ~ battleax
baulk ~ balk
baulked ~ balked
baulking ~ balking
baulks ~ balks
behove ~ behoove
behoved ~ behooved
behoves ~ behooves
behoving ~ behooving
bevvies ~ bevies
bevvy ~ bevy
carburettor ~ carburetor
carburettors ~ carburetors
carcase ~ carcass
carcases ~ carcasses
catalogue ~ catalog
catalogued ~ cataloged
catalogues ~ catalogs
cataloguing ~ cataloging
centigramme ~ centigram
centigrammes ~ centigrams
centred ~ centered
centring ~ centering
centrings ~ centerings
chequebook ~ checkbook
chequebooks ~ checkbooks
clarinettist ~ clarinetist
clarinettists ~ clarinetists
collectable ~ collectible
collectables ~ collectibles
collonaded ~ colonnaded
compleat ~ complete
compleated ~ completed
compleater ~ completer
compleaters ~ completers
compleates ~ completes
compleatest ~ completest
compleating ~ completing
cosied ~ cozied
cosier ~ cozier
cosies ~ cozies
cosiest ~ coziest
cosily ~ cozily
cosiness ~ coziness
cosy ~ cozy
cosying ~ cozying
cypher ~ cipher
cyphers ~ ciphers
deprogramme ~ deprogram
distil ~ distill
distils ~ distills
doodah ~ doodad
doodahs ~ doodads
// possible meaning change
// dyke ~ dike
// dyked ~ diked
// dykes ~ dikes
empanel ~ impanel
empanelled ~ impanelled
empanelling ~ impanelling
empanels ~ impanels
enquiries ~ inquiries
enquiry ~ inquiry
enrol ~ enroll
enrols ~ enrolls
ensorcel ~ ensorcell
ensorceled ~ ensorcelled
ensorceling ~ ensorcelling
ensorcels ~ ensorcells
enthral ~ enthrall
enthraled ~ enthralled
enthraling ~ enthralling
enthrals ~ enthralls
epaulette ~ epaulet
epaulettes ~ epaulets
flautist ~ flutist
flautists ~ flutists
fledgeling ~ fledgling
fledgelings ~ fledglings
fulfil ~ fulfill
fulfiled ~ fulfilled
fulfiling ~ fulfilling
fulfilment ~ fulfillment
fulfils ~ fulfills
furore ~ furor
furores ~ furors
gaol ~ jail
gaolbird ~ jailbird
gaolbirds ~ jailbirds
gaolbreak ~ jailbreak
gaolbreaking ~ jailbreaking
gaolbreaks ~ jailbreaks
gaolbroke ~ jailbroke
gaolbroken ~ jailbroken
gaoled ~ jailed
gaoler ~ jailer
gaolers ~ jailers
gaoling ~ jailing
gaolings ~ jailings
gaols ~ jails
gipsies ~ gypsies
gipsy ~ gypsy
glueing ~ gluing
goloshes ~ galoshes
gramme ~ gram
grammes ~ grams
groyne ~ groin
groynes ~ groins
gryphon ~ griffin
gryphons ~ griffins
haulier ~ hauler
hauliers ~ haulers
homologue ~ homolog
homologues ~ homologs
inclosure ~ enclosure
inclosures ~ enclosures
inflexion ~ inflection
inflexions ~ inflections
instal ~ install
instaled ~ installed
instaling ~ installing
