// gr-dict 1.0
// Unidirectional transformation from American-spelled words to their British
// counterparts. Note that this dictionary doesn't allow for 100% reliable
// tranformation as it doesn't contain many compound words.
//
// @type = one-to-one
// @case-sensitive = false
// @dialect-sensitive = true
// @tags = dialect

labors ~ labours
laboring ~ labouring
laborers ~ labourers
laborer ~ labourer
labored ~ laboured
labor ~ labour
labelings ~ labellings
labeling ~ labelling
labeled ~ labelled
kilometers ~ kilometres
kilometer ~ kilometre
kilograms ~ kilogrammes
kilogram ~ kilogramme
kidnaped ~ kidnapped
karats ~ carats
karat ~ carat
//judgments judgements
//judgment judgement
jewelry ~ jewellery
jewelers ~ jewellers
jeweler ~ jeweller
jeweled ~ jewelled
jeopardizing ~ jeopardising
jeopardizes ~ jeopardises
jeopardized ~ jeopardised
jeopardize ~ jeopardise
//jails gaols
//jailings gaolings
//jailing gaoling
//jailers gaolers
//jailer gaoler
//jailed gaoled
//jailbroken gaolbroken
//jailbroke gaolbroke
//jailbreaks gaolbreaks
//jailbreaking gaolbreaking
//jailbreak gaolbreak
//jailbirds gaolbirds
//jailbird gaolbird
//jail gaol
itemizing ~ itemising
itemizes ~ itemises
itemized ~ itemised
itemize ~ itemise
italicizing ~ italicising
italicizes ~ italicises
italicized ~ italicised
italicize ~ italicise
isomerizing ~ isomerising
isomerizes ~ isomerises
isomerized ~ isomerised
isomerize ~ isomerise
ionizing ~ ionising
ionizes ~ ionises
ionizers ~ ionisers
ionizer ~ ioniser
ionized ~ ionised
ionize ~ ionise
